id,question,category,expected_answer,correct,retrieved_chunks,notes
1,How do I apply a LUT to a clip in the Color page?,procedural,Go to Color page > open the LUT dropdown in the Color panel > select a LUT file (.cube) > it applies to the current node,partial,"p. 3412, p. 3410, p. 2971","top_rerank=10/10, 13s"
2,What is the difference between the Cut page and the Edit page?,single-fact,Cut page is for fast/rough editing with a simplified interface; Edit page is the full-featured timeline editor with more tools and tracks,partial,"p. 498, p. 594, p. 1588","top_rerank=9/10, 6s"
3,How do I change the timeline resolution in DaVinci Resolve?,procedural,"Project Settings > Timeline Resolution > select desired resolution (e.g. 1920x1080, 3840x2160)",partial,"p. 284, p. 699, p. 1590","top_rerank=10/10, 7s"
4,What is the maximum number of video tracks in a timeline?,single-fact,V1-V64 (64 video tracks) plus V1-V64 for Fusion comp tracks,no,"p. 700, p. 545, p. 686","top_rerank=3/10, 5s"
5,How do I export a project as a ProRes 422 HQ file?,procedural,Deliver page > select QuickTime > codec ProRes 422 HQ > set filename > Add to Render Queue > Render All,no,"p. 4041, p. 208, p. 4040","top_rerank=7/10, 13s"
6,What is the purpose of the Fairlight page in DaVinci Resolve?,single-fact,"Audio mixing and post-production: multi-track mixer, EQ, compression, reverb, automation, and audio export",partial,"p. 3855, p. 3682, p. 2994","top_rerank=5/10, 13s"
7,How do I create a speed ramp (variable speed) on a clip?,procedural,Edit page > right-click clip > Speed Change > enable 'Retime and Slip' > add speed keyframes in the timeline,partial,"p. 1077, p. 1076, p. 1074","top_rerank=9/10, 10s"
8,What is the difference between a node and a layer in the Color page?,single-fact,Nodes are the building blocks of the color grading chain (serial/parallel); layers don't exist in Color — that's a Fusion concept. Nodes allow non-destructive grading with multiple passes,no,"p. 2171, p. 1211, p. 2370","top_rerank=1/10, 5s"
9,How do I add a title/caption to my video?,procedural,Edit page > Titles and Subtitles panel > drag a title (e.g. 'Caption') onto the timeline > double-click to edit text > style in Inspector,yes,"p. 626, p. 1038, p. 1044","top_rerank=9/10, 29s"
10,What is the maximum supported frame rate in DaVinci Resolve?,single-fact,Up to 120 fps (varies by version and GPU; Resolve Studio supports higher rates than free version),partial,"p. 446, p. 2503, p. 143","top_rerank=10/10, 9s"
11,How do I stabilize a shaky clip in DaVinci Resolve?,procedural,Edit page > right-click clip > Open in Fusion > add 'Stabilizer' effect > adjust settings > render. Or: Color page > Open in Fusion > Stabilizer,partial,"p. 3440, p. 778, p. 3436","top_rerank=9/10, 8s"
12,What is the difference between DaVinci Resolve and DaVinci Resolve Studio?,single-fact,"Studio is the paid version: no watermark, higher export resolutions (4K+), GPU-accelerated noise reduction, advanced audio tools, multi-user collaboration, no frame rate limits",no,"p. 3824, p. 1210, p. 2936","top_rerank=0/10, 1s"
13,How do I apply a color correction wheel (lift/gamma/gain) to a clip?,procedural,"Color page > select clip > use the Color Wheels in the primary color correction panel: Lift (shadows), Gamma (midtones), Gain (highlights)",partial,"p. 2955, p. 3061, p. 3068","top_rerank=9/10, 10s"
14,What is the purpose of the 'Smart Reframe' feature?,single-fact,Automatically reframes a video for different aspect ratios (e.g. 16:9 to 9:16 for social media) by tracking the main subject,partial,"p. 635, p. 1643, p. 3824","top_rerank=8/10, 4s"
15,How do I add a green screen key (chroma key) in DaVinci Resolve?,procedural,Fusion page > add 'Keyer' effect (e.g. Delta Keyer) > select the green color > adjust tolerance and spill suppression > composite over background,yes,"p. 1061, p. 2443, p. 1664","top_rerank=9/10, 10s"
16,What is the maximum file size for a single clip in DaVinci Resolve?,not-in-corpus,Not specified in the manual — depends on available disk space and RAM. No hard limit documented.,yes,"p. 790, p. 1155, p. 4156","top_rerank=0/10, 1s"
17,How do I make a video loop in DaVinci Resolve?,not-in-corpus,Not a native feature. Workaround: duplicate clips on timeline or use Fusion with a loop node. The manual does not describe a built-in loop function.,yes,"p. 727, p. 3647, p. 3310","top_rerank=1/10, 4s"
18,What is the keyboard shortcut to split a clip at the playhead?,single-fact,B (Blade edit) — splits the clip under the playhead on the current track,no,"p. 587, p. 796, p. 124","top_rerank=10/10, 3s"
